Time,Time Code,Country Name,Country Code,GDP per capita growth (annual %),"GDP per capita, PPP (current international $)",CO2 emissions (metric tons per capita),CO2 emissions (kg per PPP $ of GDP),"Life expectancy at birth, total (years)","Life expectancy at birth, male (years)","Life expectancy at birth, female (years)",CO2 intensity (kg per kg of oil equivalent energy use),Coverage of social protection and labor programs (% of population),Adequacy of social protection and labor programs (% of total welfare of beneficiary households),CPIA social protection rating (1=low to 6=high),Adjusted savings: carbon dioxide damage (% of GNI),"Intentional homicides (per 100,000 people)","Internally displaced persons, total displaced by conflict and violence (number of people)",CPIA quality of public administration rating (1=low to 6=high),Proportion of people living below 50 percent of median income (%),Multidimensional poverty headcount ratio (% of total population),CO2 emissions from gaseous fuel consumption (kt),CO2 emissions from liquid fuel consumption (kt),CO2 emissions from solid fuel consumption (kt),"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),Total greenhouse gas emissions (kt of CO2 equivalent)
2015,YR2015,Afghanistan,AFG,-1.666416415,2128.125938,0.176179957,0.082786434,62.659,60.76,64.576,..,..,..,2.5,1.025317542,9.97526212,1174000,2.5,..,..,282.359,4741.431,3975.028,2,2.5,27086.07
2015,YR2015,Albania,ALB,2.516827054,11658.8949,1.603809903,0.137561057,78.644,76.404,81.183,..,..,..,..,1.394316017,2.220309903,..,..,10.8,..,62.339,3340.637,227.354,..,..,9223.67
2015,YR2015,Algeria,DZA,1.646657259,12071.81418,3.951983699,0.327372807,75.622,74.456,76.824,..,..,..,..,3.361193116,1.380769964,..,..,..,..,78833.166,55562.384,502.379,..,..,263142.9
2015,YR2015,Angola,AGO,-2.646419994,7274.090475,1.12518892,0.154684482,60.655,58.213,63.094,..,..,..,..,1.329421231,4.458235347,..,..,..,54,1441.131,17080.886,0,..,..,87360.5
2015,YR2015,Argentina,ARG,1.629664279,20105.19899,4.301851207,0.213967104,76.76,73.294,80.188,..,..,..,..,1.105539039,6.558466154,..,..,..,..,98359.941,91623.662,4008.031,..,..,370000.9
2015,YR2015,Armenia,ARM,3.606369078,10132.31898,1.85625279,0.18320118,74.436,69.595,78.833,..,66.57048832,33.61569893,..,1.690868393,2.605438175,8400,..,8.8,29.1,3773.343,821.408,3.667,..,..,9155.671
2015,YR2015,Aruba,ABW,2.885166185,37343.91296,..,..,75.683,72.569,78.644,..,..,..,..,1.969802715,..,..,..,..,..,0,898.415,0,..,..,..
2015,YR2015,Australia,AUS,0.693065823,46251.40868,15.86308697,0.342975218,82.4,80.4,84.5,2.878734123,..,..,..,0.992850232,0.990754227,..,..,..,..,73809.376,117178.985,169199.047,..,..,596976.3
2015,YR2015,Austria,AUT,-0.11154019,49865.90394,7.316961981,0.146732765,81.1902439,78.8,83.7,1.922676205,..,..,..,0.581431472,0.509116601,..,..,11.3,18.3,15749.765,30905.476,12266.115,..,..,76339.48
2015,YR2015,Azerbaijan,AZE,-0.103121365,14938.40113,3.292794814,0.220424849,71.451,68.081,74.788,..,64.6436151,2.57451897,..,2.150233834,2.139204419,564000,..,..,..,21950.662,11609.722,11.001,..,..,50518.14
2015,YR2015,Bahrain,BHR,-1.352381521,45900.70303,22.44971523,0.489093058,79.405,78.342,80.84,..,..,..,..,3.627365833,0.220241355,..,..,..,..,28261.569,3982.362,0,..,..,48874.51
2015,YR2015,Bangladesh,BGD,5.291060808,4216.719739,0.457416207,0.108476787,70.491,68.498,72.739,..,..,..,3.5,1.208345732,2.556548193,426000,3,..,..,48782.101,14701.003,8613.783,2.5,3,192176.2
2015,YR2015,Belarus,BLR,-3.957251254,18095.66518,5.794298661,0.320203684,73.62439024,68.6,78.9,..,75.3699699,50.89980954,..,3.526031473,3.360613751,..,..,6.2,..,36266.63,16772.858,2929.933,..,..,84740
2015,YR2015,Belgium,BEL,1.451893368,46200.90445,8.438011899,0.182637375,80.99268293,78.7,83.4,1.801289398,..,..,..,0.7054996,..,..,..,10.5,21.1,31990.908,52683.789,11481.377,..,..,111425.6
2015,YR2015,Bhutan,BTN,5.649806271,9303.945982,1.032997253,0.111027864,70.343,68.875,72.072,..,..,..,3,1.438883569,1.614478644,..,4,..,..,0,458.375,212.686,4.5,4,1386.158
2015,YR2015,Bolivia,BOL,3.220538942,6992.127581,1.871716944,0.267689186,67.318,64.9,69.911,..,76.69850865,12.58753406,3.5,2.264868236,4.896265227,..,3,21.3,..,7869.382,10124.587,0,3,3.5,57540.41
2015,YR2015,Bosnia and Herzegovina,BIH,4.456460331,11687.12226,5.565748212,0.476229143,76.182,74.18,78.112,..,50.34959309,32.45149511,..,4.179877619,1.617331437,98000,..,..,..,407.037,4257.387,13501.894,..,..,24885.65
2015,YR2015,Botswana,BWA,-6.699965199,13420.5066,3.016180578,0.224744167,63.818,61.262,66.284,..,55.44380583,26.04800652,..,1.841324788,..,..,..,19.7,..,3.667,2519.229,2900.597,..,..,12193.27
2015,YR2015,Brazil,BRA,-4.358317179,14692.63231,2.365360134,0.160989541,74.332,71.124,77.572,..,53.80871123,44.76088888,..,0.954397922,28.35640577,..,..,22.5,..,77241.688,317125.827,74469.436,..,..,1095301
2015,YR2015,Brunei Darussalam,BRN,-1.522384232,61572.6217,15.18067944,0.246549181,74.75,72.714,77.001,..,..,..,..,1.638658759,..,..,..,..,..,4895.445,1646.483,0,..,..,8391.932
2015,YR2015,Bulgaria,BGR,4.090107686,18391.89681,6.207377524,0.337506109,74.61463415,71.2,78.2,..,..,..,..,3.149247547,1.72384225,..,..,16.3,41.3,5944.207,11829.742,25907.355,..,..,57255.09
2015,YR2015,Burkina Faso,BFA,0.877785605,1657.916107,0.197686518,0.11923795,58.845,57.184,60.401,..,..,..,3,1.13927212,0.646029931,..,3.5,..,..,0,3197.624,0,3.5,4,28042.42
2015,YR2015,Burundi,BDI,-5.980495612,797.0501141,0.037442384,0.046976199,60.217,58.226,62.198,..,..,..,3,0.448051385,4.297507394,99000,2.5,..,..,0,348.365,7.334,2,3,3616.525
2015,YR2015,Cambodia,KHM,5.531684682,3411.577267,0.546949079,0.160321469,69.873,67.586,72.02,..,..,..,2.5,1.718887336,..,..,2.5,..,..,0,5559.172,2317.544,2,3,31141.81
2015,YR2015,Cameroon,CMR,2.392797417,3437.789826,0.367684794,0.106953832,59.658,58.127,61.206,..,..,..,3,0.925864606,3.741421049,124000,3,..,..,942.419,6182.562,0,2.5,3,87952.87
2015,YR2015,Canada,CAN,-0.089285801,44670.08054,15.64860767,0.350315188,81.81560976,79.84,83.89,2.050935083,..,..,..,1.267569415,1.709945834,..,..,13.7,..,199946.842,269326.482,70670.424,..,..,704481.4
2015,YR2015,Central African Republic,CAF,3.891158828,733.7495807,0.038532303,0.052514242,52.793,51.167,54.512,..,..,..,2,0.384816336,..,452000,2,..,..,0,293.36,0,2.5,2.5,21009.23
2015,YR2015,Chad,TCD,-0.453003769,1816.288184,0.168716674,0.092890917,51.589,50.09,53.132,..,..,..,3,0.782664395,..,107000,2.5,..,..,0,902.082,0,2.5,2.5,68120.83
2015,YR2015,Channel Islands,CHI,..,..,..,..,81.433,79.268,83.552,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2015,YR2015,Chile,CHL,1.105758382,22691.48662,4.601277529,0.202775499,79.746,77.035,82.384,2.27451482,87.72247427,15.26222355,..,1.208809011,2.344695538,..,..,13.6,20.9,9119.829,44389.035,27183.471,..,..,102127.5
2015,YR2015,China,CHN,6.420736477,12897.50229,7.14644964,0.554095629,76.977,74.379,79.772,..,..,..,..,3.114773022,0.66010605,..,..,..,..,366949.356,1328664.11,7272926.115,..,..,11818470
2015,YR2015,Colombia,COL,1.990616494,13378.67515,1.702635041,0.127264847,76.257,73.252,79.292,..,36.25845194,28.31695155,..,0.963147212,27.12876441,6270000,..,21.1,19.8,23120.435,43959.996,19160.075,..,..,175226.2
2015,YR2015,Comoros,COM,-1.014068958,2884.774852,0.256362501,0.088867421,62.896,60.811,65.163,..,..,..,2.5,0.680386756,..,..,2.5,..,..,0,168.682,0,2.5,3,477.61
2015,YR2015,"Congo, Dem. Rep.",COD,3.353084348,877.6808352,0.041082217,0.046807695,58.49,56.737,60.254,..,..,..,2.5,0.31974527,..,1500000,2.5,..,..,3.667,2636.573,0,2,3,52542.34
2015,YR2015,"Congo, Rep.",COG,-5.826892598,4448.916586,1.116759268,0.251018253,63.233,62.137,64.314,..,..,..,2.5,1.664471946,..,7800,2.5,..,..,524.381,2357.881,0,2,3,15250.72
2015,YR2015,Costa Rica,CRI,2.573178611,16925.17941,1.539842157,0.09097937,79.086,76.698,81.569,..,72.01257862,30.15862581,..,0.484974631,11.37839559,..,..,18.6,26.16694809,0,6439.252,275.025,..,..,14317.07
2015,YR2015,Cote d'Ivoire,CIV,4.463053059,4579.814769,0.415553148,0.090735798,57.762,56.677,58.947,..,32.8626698,47.54319015,2.5,0.761306137,..,303000,3,15.3,..,3861.351,5551.838,0,3,3,22650.12
2015,YR2015,Croatia,HRV,3.37066856,23338.24207,3.94953949,0.169230376,77.27560976,74.3,80.4,..,..,..,..,1.142618619,0.869603026,..,..,13.9,29.1,4767.1,9024.487,2299.209,..,..,22608.68
2015,YR2015,Cuba,CUB,4.365679262,..,2.576073462,..,77.772,75.505,80.148,..,..,..,..,1.180870567,5.458604816,..,..,..,..,2390.884,26079.704,22.002,..,..,45171.67
2015,YR2015,Curacao,CUW,-1.023790833,24221.15367,..,..,78.07560976,75.1,81.2,..,..,..,..,..,..,..,..,..,..,275.025,6120.223,0,..,..,..
2015,YR2015,Cyprus,CYP,4.009426772,31922.34961,5.771090223,0.253216752,80.966,79.051,82.873,..,..,..,..,1.204234456,1.263391955,272000,..,10.1,28.9,0,5727.854,14.668,..,..,8213.804
2015,YR2015,Czechia,CZE,5.181402654,33899.28657,9.400743918,0.277313916,78.57804878,75.7,81.6,2.480604525,..,..,..,1.968389931,0.83620005,..,..,6.5,14,14847.683,19937.479,63182.41,..,..,120462.2
2015,YR2015,Denmark,DNK,1.622166258,49045.33919,5.928653257,0.120881074,80.70243902,78.8,82.7,2.098926792,..,..,..,0.375634148,1.091973012,..,..,5.9,17.7,6534.594,16593.175,6549.262,..,..,47880.15
2015,YR2015,Djibouti,DJI,5.69115555,4144.97437,0.461958601,0.111450291,61.957,59.695,64.299,..,..,..,3,0.667205278,..,..,2.5,..,..,0,539.049,0,2.5,2.5,1400.833
2015,YR2015,Dominica,DMA,-3.615168468,11327.08141,2.588312597,0.228506577,68.727,66.587,71.082,..,..,..,3,1.199421558,12.85594909,..,3.5,..,..,0,176.016,0,4,3.5,247.817
2015,YR2015,Dominican Republic,DOM,5.655742243,14564.94695,2.267046018,0.155650826,72.953,69.828,76.377,..,31.04564043,13.4115996,..,1.202271343,..,..,..,17.6,25.5,2027.851,16633.512,2893.263,..,..,36494.28
2015,YR2015,Ecuador,ECU,-1.371519259,11071.29472,2.563870787,0.231578226,76.789,74.391,79.209,..,74.9680965,24.14734598,..,1.480768047,6.483121471,..,..,19,34.95,2867.594,36365.639,0,..,..,74092.07
2015,YR2015,"Egypt, Arab Rep.",EGY,2.095538308,10890.24179,2.315479978,0.212619703,70.483,67.967,73.081,..,..,..,..,2.431024972,1.750852941,9100,..,4.7,..,84219.989,112114.858,1345.789,..,..,317375
2015,YR2015,El Salvador,SLV,2.046016268,7712.372705,1.123644012,0.145693687,71.814,66.834,76.572,..,89.11105963,32.26851781,..,1.089257516,106.8196036,..,..,14.4,..,0,6351.244,0,..,..,12222.44
2015,YR2015,Estonia,EST,1.786274694,29175.92593,11.81254167,0.404872898,77.5902439,73.2,82.2,2.799827966,..,..,..,2.413684173,3.422947363,..,..,10.6,24.2,894.748,491.378,14781.677,..,..,18362.75
2015,YR2015,Ethiopia,ETH,7.456695097,1630.877462,0.125814986,0.077145579,63.649,61.126,66.326,..,23.15086113,11.63661608,3.5,0.696787974,..,450000,3.5,12.4,..,0,8885.141,1092.766,3,4,136858.6
2015,YR2015,Fiji,FJI,4.314345961,11755.08618,1.508122547,0.12829532,66.844,64.915,68.932,..,..,..,..,1.088824153,..,..,..,..,..,0,2053.52,0,..,..,2001.406
2015,YR2015,Finland,FIN,0.21302942,42497.70498,7.813697924,0.183861644,81.4804878,78.7,84.4,1.318976024,..,..,..,0.628679883,1.496497557,..,..,6.5,16.8,5122.799,20938.57,15896.445,..,..,54346.07
